Year,tmax,tmin,"fog,days","rain,mm","sun,min","sun,hours",city
2022-10,17.9,9.8,1,111.2,7314,121.9,Bristol
2022-11,13.2,6.9,1,131.8,4824,80.4,Bristol
2022-12,7.8,0.4,13,81.4,3246,54.1,Bristol
2023-01,9,1.4,12,79,4794,79.9,Bristol
2023-02,10.6,2,10,5.4,4896,81.6,Bristol
2023-03,11,4.8,2,113.2,3342,55.7,Bristol
2023-04,13.7,4.6,4,59.6,8238,137.3,Bristol
2023-05,18.5,7.5,0,68.4,13866,231.1,Bristol
2023-06,23.4,12,0,22.8,15294,254.9,Bristol
2023-07,20.7,12.9,0,96,7950,132.5,Bristol
2023-08,21.4,12.4,0,56.8,7800,130.0,Bristol
2023-09,22.3,12.5,0,54.6,8340,139.0,Bristol
2023-10,17.2,9.2,0,115.2,6096,101.6,Bristol
2023-11,11.9,5.2,4,92.8,4062,67.7,Bristol
2023-12,11.3,5.7,5,135,1116,18.6,Bristol
2024-01,8.5,1.4,10,62,4638,77.3,Bristol
2024-02,11.8,5.6,3,111.8,2616,43.6,Bristol
2024-03,12.3,5,3,86.6,4932,82.2,Bristol
2024-04,14,6.5,0,50.4,6606,110.1,Bristol
2024-05,18.4,8.9,0,136.2,8634,143.9,Bristol
2024-06,19.7,8.9,0,13,12336,205.6,Bristol
2024-07,21.4,11.9,0,69,10044,167.4,Bristol
2024-08,22.2,12.8,0,27.4,8466,141.1,Bristol
2024-09,18.3,10.7,0,142.8,6456,107.6,Bristol
2024-10,16.2,8.1,0,102,5112,85.2,Bristol
2024-11,11.7,5.1,7,88.6,2928,48.8,Bristol
2024-12,10.5,5,1,29.6,1674,27.9,Bristol
2025-01,8,0.8,11,139,3426,57.1,Bristol
2025-02,8.9,2.8,5,51.2,3348,55.8,Bristol
2025-03,13,2.3,12,6.4,9984,166.4,Bristol
2025-04,17.2,4.7,1,15.6,12756,212.6,Bristol
2025-05,20.4,8.2,0,17.6,14394,239.9,Bristol
2025-06,22.9,12.8,0,31,11778,196.3,Bristol
2025-07,24.8,13.6,0,36.4,13632,227.2,Bristol
2025-08,24,12.1,0,32.2,11622,193.7,Bristol
2025-09,18.9,9.7,0,74.6,9522,158.7,Bristol
2025-10,15.5,8.7,0,57.2,4566,76.1,Bristol
2025-11,12.6,5.5,7,77,4662,77.7,Bristol
2025-12,10.2,3.7,8,98.4,4296,71.6,Bristol
2021-01,7.3,2.2,7,74,1770,29.5,Brighton
2021-02,8.4,3.9,6,32.2,4182,69.7,Brighton
2021-03,10.8,4.7,1,15,9618,160.3,Brighton
2021-04,11.0,3.4,1,3.7,14046,234.1,Brighton
2021-05,14.3,8.0,0,71.4,12144,202.4,Brighton
2021-06,19.4,13.7,0,93.4,12498,208.3,Brighton
2021-07,20.9,15.3,0,78.7,13860,231.0,Brighton
2021-08,19.7,14.5,0,41.5,11550,192.5,Brighton
2021-09,20.6,14.3,0,53.2,10176,169.6,Brighton
2021-10,16.3,11.2,0,144.8,5982,99.7,Brighton
2021-11,11.8,6.4,0,11.0,4062,67.7,Brighton
2021-12,10.3,6.7,0,80.9,1674,27.9,Brighton
2022-01,9.7,4.4,2,19.8,3870,64.5,Brighton
2022-02,11,5.9,0,42.7,5952,99.2,Brighton
2022-03,11.8,6.6,0,16,11154,185.9,Brighton
2022-04,14.4,6.8,0,19.8,13782,229.7,Brighton
2022-05,17.9,10.8,0,47.6,13488,224.8,Brighton
2022-06,20.2,12.7,0,31.6,16080,268,Brighton
2022-07,24.3,16,0,0.2,18120,302,Brighton
2022-08,24.3,16.6,0,34.4,15876,264.6,Brighton
2022-09,20.3,13.1,0,106.6,10104,168.4,Brighton
2022-10,18.3,12.8,0,64.9,6918,115.3,Brighton
2022-11,13.9,9.7,0,206.7,3474,57.9,Brighton
2022-12,8.2,4.2,9,124.9,2322,38.7,Brighton
2023-01,9,4.7,2,100.6,3342,55.7,Brighton
2023-02,10,4.7,0,4.7,4338,72.3,Brighton
2023-03,10.2,5.5,0,107.5,4560,76,Brighton
2023-04,13.3,6.8,0,53.4,11328,188.8,Brighton
2023-05,17,9.7,0,13.8,13134,218.9,Brighton
2023-06,22.5,14.1,0,30.8,17724,295.4,Brighton
2023-07,20.9,14.9,0,59.8,11454,190.9,Brighton
2023-08,21.5,14.8,0,83.2,12948,215.8,Brighton
2023-09,22.4,15.7,0,34.1,11274,187.9,Brighton
2023-10,17.8,11.9,0,218.0,7218,120.3,Brighton
2023-11,12.2,7.2,0,174.2,4056,67.6,Brighton
2023-12,11.2,7.0,1,114.1,1080,18.0,Brighton
2024-01,8.3,3.5,7,27.5,4386,73.1,Brighton
2024-02,10.9,7.1,0,95.9,1602,26.7,Brighton
2024-03,11.6,6.9,0,69.3,5946,99.1,Brighton
2024-04,13.6,7.5,0,51,6984,116.4,Brighton
2024-05,17.1,10.8,0,81.1,12372,206.2,Brighton
2024-06,19.6,11.9,0,10.2,14784,246.4,Brighton
2024-07,20.6,14.6,0,32.3,11580,193,Brighton
2024-08,21.9,16.1,0,39.5,12168,202.8,Brighton
2024-09,19.3,12.6,0,161.4,7488,124.8,Brighton
2024-10,16.3,10.8,0,78,5694,94.9,Brighton
2024-11,12.0,7.4,0,68.3,3078,51.3,Brighton
2024-12,9.9,6.3,0,59.9,1152,19.2,Brighton
2025-01,8.0,2.9,5,58.6,3570,59.5,Brighton
2025-02,8.2,4.1,0,25.3,4020,67.0,Brighton
2025-03,12.2,4.9,3,8.8,12828,213.8,Brighton
2025-04,15.8,7.3,0,27.8,15420,257.0,Brighton
2025-05,17.9,10.2,0,14,14430,240.5,Brighton
2025-06,20.6,14.1,0,6.5,19686,328.1,Brighton
2025-07,22.4,15.9,0,58.5,14970,249.5,Brighton
2025-08,22.1,14.9,0,7.4,13638,227.3,Brighton
2025-09,18.5,12.6,0,15.9,9606,160.1,Brighton
2025-10,15.7,11.4,0,120.6,5616,93.6,Brighton
2025-11,12.9,8.4,1,63.4,3924,65.4,Brighton
2025-12,10.8,6.3,0,94.2,3834,63.9,Brighton
2021-01,6.4,1.7,9,120.3,2106,35.1,Canterbury
2021-02,8.2,3.2,9,5.2,5040,84.0,Canterbury
2021-03,10.6,4,1,40,7914,131.9,Canterbury
2021-04,9.9,3.4,2,5.8,13350,222.5,Canterbury
2021-05,14.8,7,0,66.4,11334,188.9,Canterbury
2021-06,20.6,12.8,0,94.4,13278,221.3,Canterbury
2021-07,21.8,13.8,0,26,12372,206.2,Canterbury
2021-08,20.5,13.7,0,66.6,10218,170.3,Canterbury
2021-09,20.9,13.3,0,16.2,10362,172.7,Canterbury
2021-10,15.8,9.6,0,90.2,6078,101.3,Canterbury
2021-11,10.8,5.9,0,29.4,4392,73.2,Canterbury
2021-12,9.4,4.6,2,51.8,1710,28.5,Canterbury
2022-01,8.2,2.4,2,15.6,5466,91.1,Canterbury
2022-02,10.7,3.8,1,42.6,6630,110.5,Canterbury
2022-03,11.3,5.2,0,19.6,10332,172.2,Canterbury
2022-04,13.1,6.2,0,6.6,12606,210.1,Canterbury
2022-05,17.6,9.5,0,56,11796,196.6,Canterbury
2022-06,20.5,11.7,0,32.2,15420,257.0,Canterbury
2022-07,24.7,14.9,0,8.4,17532,292.2,Canterbury
2022-08,24.5,15.8,0,6,17388,289.8,Canterbury
2022-09,19.4,12.7,0,64.6,9024,150.4,Canterbury
2022-10,17.6,11.2,0,33.2,9348,155.8,Canterbury
2022-11,12.8,7.5,0,143,3432,57.2,Canterbury
2022-12,8.2,2.8,10,61,3648,60.8,Canterbury
2023-01,8.7,3,4,45,3990,66.5,Canterbury
2023-02,9.7,3.9,3,6,6414,106.9,Canterbury
2023-03,10.3,4.8,3,73.2,5160,86.0,Canterbury
2023-04,12,5.6,0,57.2,11454,190.9,Canterbury
2023-05,15.5,8.9,0,15.2,14772,246.2,Canterbury
2023-06,21.9,12.9,0,22.8,16608,276.8,Canterbury
2023-07,21.9,13.6,0,82,11046,184.1,Canterbury
2023-08,21.6,13.7,0,50.2,13230,220.5,Canterbury
2023-09,22.7,14.4,0,19.2,10356,172.6,Canterbury
2023-10,18,10.8,0,111.2,7740,129.0,Canterbury
2023-11,11.3,5.6,1,113,5808,96.8,Canterbury
2023-12,10.3,5.7,1,61.8,2274,37.9,Canterbury
2024-01,7.7,2.9,6,43,5298,88.3,Canterbury
2024-02,11.3,5.8,0,92.2,3588,59.8,Canterbury
2024-03,11.7,6.1,0,49.8,6222,103.7,Canterbury
2024-04,13.9,6.9,0,60.2,9462,157.7,Canterbury
2024-05,17.2,10.2,0,55.6,11706,195.1,Canterbury
2024-06,19.6,10.8,0,10.8,14154,235.9,Canterbury
2024-07,21.6,13.8,0,43,12066,201.1,Canterbury
2024-08,23.9,14.8,0,26.4,14622,243.7,Canterbury
2024-09,19.2,12.6,0,39,8808,146.8,Canterbury
2024-10,15.9,10.1,0,67.8,4296,71.6,Canterbury
2024-11,10.9,6.3,2,43,3486,58.1,Canterbury
2024-12,9.3,5,0,31.8,2250,37.5,Canterbury
2025-01,6.9,1.6,12,67,3594,59.9,Canterbury
2025-02,7.7,3.1,2,37.6,4092,68.2,Canterbury
2025-03,11.8,4.5,2,4.8,13026,217.1,Canterbury
2025-04,14.7,6.9,0,17.8,15846,264.1,Canterbury
2025-05,18,9.8,0,11.2,14682,244.7,Canterbury
2025-06,23,13.5,0,60.4,17142,285.7,Canterbury
2025-07,23,15.1,0,74.6,12756,212.6,Canterbury
2025-08,22.7,14.8,0,11.2,13836,230.6,Canterbury
2025-09,19.3,11.9,0,54.1,9960,166.0,Canterbury
2025-10,15.2,10,0,95.4,5040,84.0,Canterbury
2025-11,12.1,7.2,1,45.6,4116,68.6,Canterbury
2025-12,10.1,5.5,0,37.4,3456,57.6,Canterbury
